price,link,title
$3250,/sfc/apa/5728858915.html,2BD 1.5 BA in Sunset!
$3950,/sfc/apa/5742234791.html,CONTEMPORARY 1BD/1BA MARINA CONDO- W/PKING- FOUNDATION
$3600,/sfc/apa/5750994262.html,"777 5th Avenue / 2 Bedroom - $3,600 -- Newly Remodeled"
$2300,/sfc/apa/5742909172.html,Gorgeous new 2-room in-law right near park!
$1200,/sfc/apa/5750692135.html,Downtown Nevada City Studio
$5047,/sfc/apa/5750603765.html,Presidio 2 bedroom Apartment!
$10500,/sfc/apa/5728914527.html,Exceptional Luxury in the heart of the Financial District
$1950,/sfc/apa/5750405787.html,OpenHouseCanceledfor2888Folsom-StudioRentedbyCaliforniaRealtyGroup8.14
$4000,/sfc/apa/5739057698.html,VERY LARGE ONE BEDROOM WITH YARD + FIREPLACE
$3050,/sfc/apa/5750111517.html,"AMSI - Spacious and Bright 1 Bedroom, 6th Fl in Cathedral Hill!"
$3900,/sfc/apa/5749984204.html,"Walk to work - Pinterest, Zynga, Airbnb! 1br/Top Floor Boutique Loft."
$3450,/sfc/apa/5704016563.html,BEAUTIFUL 1b/1b with PARKING PERFECT LOCATION
$3750,/sfc/apa/5722863079.html,Contemporary Loft in SoMA - *Internet included*
$2350,/sfc/apa/5729695747.html,"OPEN ,,Sunny 1 bedroom apartment"
$3100,/sfc/apa/5749090827.html,**BEAUTIFUL BAYVIEW APARTMENT*
$3395,/sfc/apa/5748971621.html,OPEN HOUSE!Golden Gate Bridge View!Spacious brand new renovation!
$1680,/sfc/apa/5748836645.html,One bedroom room in-law
$6300,/sfc/apa/5748591902.html,FURNISHED 2BD+Den Dolores Park View Home w/Sweeping City Vus
$1895,/sfc/apa/5732575838.html,"Tenderloin Studio - $1,895 - Walk In Closet - Hardwood - Bay Windows"
$10500,/sfc/apa/5744959504.html,Exceptional Luxury in the heart of San Francisco Financial District
$2295,/sfc/apa/5748358617.html,**Modern Studio Apartment - Top Floor - Newly Renovated!
$3600,/sfc/apa/5744242201.html,"Spacious 2 BR with yard, garage in safe neighborhood"
$2800,/sfc/apa/5747789796.html,"Brand new! Amazing light, modern open kit, WD, HW floors, public trans"
$1,/sfc/apa/5747558996.html,$100
