price,link,title
$2900,/sfc/apa/5745194160.html,vacant studio condo ready to move in
$2850,/sfc/apa/5751163927.html,OPEN HOUSE SAT-Charming 1/bd with Shared Deck in North Beach
$1800,/sfc/apa/5750936671.html,Top Floor NOPA studio apartment
$2350,/sfc/apa/5723383420.html,SF Monterey Heights Master Suite Studio for Rent
$3595,/sfc/apa/5750630046.html,199 New Montgomery Street #1106: Luxurious 1-BR + den condo
$2500,/sfc/apa/5737754940.html,$2500 / 2bed 1 bath - Newly Remodeled lower unit for rent
$10500,/sfc/apa/5728914527.html,Exceptional Luxury in the heart of the Financial District
$1950,/sfc/apa/5750405787.html,OpenHouseCanceledfor2888Folsom-StudioRentedbyCaliforniaRealtyGroup8.14
$4000,/sfc/apa/5739057698.html,VERY LARGE ONE BEDROOM WITH YARD + FIREPLACE
$3050,/sfc/apa/5750111517.html,"AMSI - Spacious and Bright 1 Bedroom, 6th Fl in Cathedral Hill!"
$3900,/sfc/apa/5749984204.html,"Walk to work - Pinterest, Zynga, Airbnb! 1br/Top Floor Boutique Loft."
$3450,/sfc/apa/5704016563.html,BEAUTIFUL 1b/1b with PARKING PERFECT LOCATION
$3750,/sfc/apa/5722863079.html,Contemporary Loft in SoMA - *Internet included*
$2350,/sfc/apa/5729695747.html,"OPEN ,,Sunny 1 bedroom apartment"
$3100,/sfc/apa/5749090827.html,**BEAUTIFUL BAYVIEW APARTMENT*
$3395,/sfc/apa/5748971621.html,OPEN HOUSE!Golden Gate Bridge View!Spacious brand new renovation!
$1680,/sfc/apa/5748836645.html,One bedroom room in-law
$6300,/sfc/apa/5748591902.html,FURNISHED 2BD+Den Dolores Park View Home w/Sweeping City Vus
$1895,/sfc/apa/5732575838.html,"Tenderloin Studio - $1,895 - Walk In Closet - Hardwood - Bay Windows"
$10500,/sfc/apa/5744959504.html,Exceptional Luxury in the heart of San Francisco Financial District
$2295,/sfc/apa/5748358617.html,**Modern Studio Apartment - Top Floor - Newly Renovated!
$3600,/sfc/apa/5744242201.html,"Spacious 2 BR with yard, garage in safe neighborhood"
$2800,/sfc/apa/5747789796.html,"Brand new! Amazing light, modern open kit, WD, HW floors, public trans"
$1,/sfc/apa/5747558996.html,$100
